STABBR,UNITID,INSTNM,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
MD,161651,Aesthetics Institute of Cosmetology,Gaithersburg,20877,,25.0,,
MD,161688,Allegany College of Maryland,Cumberland,21502-2596,,1990.0,3940.0,
MD,161767,Anne Arundel Community College,Arnold,21012-1895,,11294.0,4646.0,
MD,161776,Brightwood College-Towson,Towson,21286-2201,,309.0,,
MD,161800,Award Beauty School,Hagerstown,21740-5610,,157.0,,
MD,161855,Baltimore Studio of Hair Design,Baltimore,21201-3444,,46.0,,
MD,161864,Baltimore City Community College,Baltimore,21215-7893,,3797.0,3074.0,
MD,161873,University of Baltimore,Baltimore,21201-5720,0.8099,2856.0,8824.0,
MD,162007,Bowie State University,Bowie,20715-9465,0.36,5107.0,8064.0,
MD,162061,Capitol Technology University,Laurel,20708,0.7473,421.0,24788.0,
MD,162104,Cecil College,North East,21901-1900,,2112.0,4005.0,
MD,162122,College of Southern Maryland,La Plata,20646-0910,,6699.0,3690.0,
MD,162168,Chesapeake College,Wye Mills,21679-0008,,1744.0,3818.0,
MD,162210,Washington Adventist University,Takoma Park,20912,0.6139,750.0,23400.0,
MD,162283,Coppin State University,Baltimore,21216-3698,0.3651,2459.0,7474.0,
MD,162335,Delmarva Beauty Academy,Salisbury,21804-6952,,51.0,,
MD,162371,North American Trade Schools,Baltimore,21244,,448.0,,
MD,162557,Frederick Community College,Frederick,21702-2964,,4830.0,3520.0,
MD,162584,Frostburg State University,Frostburg,21532-1099,0.7229,4486.0,8914.0,
MD,162609,Garrett College,McHenry,21541,,532.0,3948.0,
MD,162654,Goucher College,Baltimore,21204-2794,0.7884,1526.0,43440.0,
MD,162681,Purdue University Global-Hagerstown,Hagerstown,21742,,470.0,14263.0,
MD,162690,Hagerstown Community College,Hagerstown,21742-6514,,3181.0,3616.0,
MD,162706,Harford Community College,Bel Air,21015-1698,,5018.0,3643.0,
MD,162760,Hood College,Frederick,21701,0.8113,1108.0,37960.0,
MD,162779,Howard Community College,Columbia,21044-3197,,8943.0,3888.0,
MD,162830,Aveda Institute-Maryland,Bel Air,21014-3639,,37.0,,
MD,162928,Johns Hopkins University,Baltimore,21218-2688,0.1254,5663.0,52170.0,
MD,163028,Lincoln College of Technology-Columbia,Columbia,21046,,569.0,,
MD,163046,Loyola University Maryland,Baltimore,21210-2699,0.7528,3903.0,47560.0,
MD,163204,University of Maryland Global Campus,Adelphi,20783-8010,,42289.0,7296.0,
MD,163259,University of Maryland Baltimore,Baltimore,21201-1627,,918.0,,
MD,163268,University of Maryland-Baltimore County,Baltimore,21250,0.6021,11130.0,11518.0,
MD,163286,University of Maryland-College Park,College Park,20742,0.445,29273.0,10399.0,
MD,163295,Maryland Institute College of Art,Baltimore,21217-4134,0.6161,1743.0,46990.0,
MD,163338,University of Maryland Eastern Shore,Princess Anne,21853-1299,0.3901,2799.0,8042.0,
MD,163347,Fortis Institute-Towson,Towson,21204-9840,,412.0,,
MD,163408,Montgomery Beauty School,Silver Spring,20901,,120.0,,
MD,163426,Montgomery College,Rockville,20850,,18915.0,4974.0,
MD,163453,Morgan State University,Baltimore,21251-0001,0.6372,6426.0,7766.0,
MD,163462,Mount St. Mary's University,Emmitsburg,21727-7799,0.6423,1785.0,40550.0,
MD,163532,Ner Israel Rabbinical College,Baltimore,21208,0.6418,265.0,11900.0,
MD,163541,Hair Academy Inc-New Carrollton,New Carrollton,20784,,447.0,,
MD,163578,Notre Dame of Maryland University,Baltimore,21210-2476,0.714,808.0,36070.0,
